Portuguese,English
que,what
a,The
o,The
não,not
de,in
é,It is
e,and
um,a
para,for
eu,I
uma,an
está,it is
com,with
se,if
do,of
por,per
os,you
ele,him
mas,but
em,in
bem,well
isso,that
da,gives
como,as
sim,Yes
as,at
no,at the
mais,more
na,at
meu,mine
aqui,on here
me,me
muito,much
foi,was
ela,Is it over there
isto,this
estou,I am
fazer,do
vamos,we will
já,already
ser,to be
vai,go
à,The
minha,mine
só,only
ao,to
tem,he has
tudo,everything
te,you
porque,why
há,there is
tenho,have
vou,I will
tu,you
sei,know
quando,When
agora,now
estás,these
você,you
lá,there
então,then
ter,to have
era,was
quem,who
onde,Where
nada,nothing
ou,or
coisa,thing
dizer,to say
são,they are
quero,I want
estava,was
sou,I am
seu,your
pode,he can
mesmo,same
esta,it is
eles,they
nós,we
sua,your
dos,From
todos,all
nos,us
mim,me
posso,can I
bom,Good
ver,to see
este,This one
casa,House
temos,we have
tens,tens
tua,your
nunca,Never
estão,they are
até,until
assim,so
teu,your
acho,I think
falar,speak
disse,said
ainda,still
tempo,time
também,also
ir,go
pai,father
sobre,about
vez,turn
quê,what
quer,would you like
és,is
favor,favor
depois,after
tão,so
melhor,best
mãe,mom
talvez,perhaps
olá,Hello
obrigado,thanks
noite,night
ti,you
sabes,sake
sempre,ever
deus,God
estamos,we are
alguém,somebody
dia,day
certo,right
nem,nor
alguma,some
vida,life
anos,years old
dele,his
sem,without
vais,vais
das,of
tinha,he had
estar,be
queres,want
coisas,things
homem,men
pessoas,people
algo,something
pelo,fur
ficar,stay
boa,Good
sabe,You know
parece,looks
claro,clear
dois,two
verdade,truth
tipo,type
preciso,I need
antes,before
senhor,Mr
lhe,him
podes,you can
apenas,only
sr.,mr.
faz,does
vocês,you guys
ninguém,nobody
trabalho,work
outra,other
espera,wait
saber,know
comigo,with me
vão,they go
dinheiro,cash
aí,there
podemos,we can
pouco,little bit
essa,That
esse,that
grande,big
pois,because
pela,through the
qualquer,any
disso,from that
num,on one
qual,which
desculpa,excuse
dela,her
hoje,today
toda,all
deve,he must
mulher,women
queria,I wanted
fora,outside
filho,son
cá,here
seja,it is
meus,my
nosso,our
olha,look
vá,go
daqui,from here
sério,for real
oh,Oh
nossa,Wow
certeza,assurance
diz,it says
nome,Name
às,at
outro,other
todo,all
dar,to give
tentar,try
sair,leave
têm,he has
quanto,how much
pensar,think
mal,bad
volta,return
aconteceu,it happened
consigo,I can
três,three
mundo,world
menos,any less
amigo,friend
contigo,with you
embora,although
numa,in
passa,goes by
porquê,why
problema,problem
carro,car
lado,side
vezes,times
nas,in the
fez,he did
seus,your
novo,new
merda,Shit
parte,part
todas,all
aos,to the
obrigada,Thanks
primeiro,first
será,it will be
lugar,place
voltar,come back
pensei,I thought
algum,some
achas,you
vem,comes
dentro,inside
família,family
ali,there
razão,reason
aquele,that one
dias,days
fui,I went
anda,ride
querida,Honey
sabia,you knew
duas,two
ideia,idea
hora,hour
si,si
polícia,police
podem,they can
forma,form
entre,in between
caso,case
gosto,like
atrás,behind
homens,men
devia,should
aquilo,that one
amor,love
pessoa,person
ok,OK
podia,could
uns,some
desde,since
somos,are
cabeça,head
horas,hours
deles,from them
fica,he is
ajudar,to help
tarde,evening
momento,time
tal,such
tenha,you have
pronto,ready
fiz,made
foram,were
ia,ia
cidade,City
amigos,friends
encontrar,meet
frente,front
sido,has been
passar,pass
deixar,leave
vi,saw
nenhum,none
gente,people
durante,during
seria,he would be
outros,others
entrar,to enter
chegar,to arrive
nova,new
trabalhar,work
quase,almost
desculpe,excuse me
amanhã,tomorrow
tanto,so much
fosse,were
história,story
irmão,brother
cima,top
contra,against
morrer,die
maneira,manner
suas,your
enquanto,While
alguns,some
ajuda,help
precisa,need
morto,dead
primeira,first
porta,door
minhas,my
medo,fear
morte,death
aquela,that one
óptimo,optimal
caminho,path
vir,come over
feliz,happy
sinto,I feel
minutos,minute
ouvir,listen
desta,of this
tive,I had
neste,in this
matar,kill
cada,each
estes,these
acontecer,happen
espero,I expect
ano,year
rapaz,boy
precisamos,we need
for,either
causa,cause
feito,done
sorte,luck
lamento,am sorry
filha,daughter
acha,he thinks
teus,your
levar,take along
conta,bill
estas,these
arma,weapon
pessoal,folks
quarto,bedroom
olhos,eyes
senhora,Lady
adeus,bye
cara,guy
disto,of this
algumas,some
juntos,together
difícil,difficult
última,last
única,only
manhã,morning
importante,important
poder,power
mãos,hands
ei,Hey
água,Water
começar,to start
faço,I do
perto,close
cuidado,Careful
sangue,blood
nossos,ours
semana,week
mesma,same
usar,use
significa,means
acredito,I believe
querem,want
cinco,five
acabou,he finished
problemas,problems
corpo,body
altura,height
disseste,said
nisso,in that
chefe,boss
jogo,game
guerra,war
fala,speaks
procura,search
dr.,DR.
sabemos,We know
fizeste,You had
ouve,hear
realmente,really
terra,Earth
havia,there was
ontem,yesterday
umas,some
deixa-me,let me
dólares,dollars
comer,eat
dormir,to sleep
dá,from the
escola,school
logo,soon
querido,Dear
sabem,They know
fim,The end
deste,of this
eram,they were
pára,for
agente,agent
equipa,team
rapariga,girl
marido,husband
calma,calm
coração,heart
segurança,safety
viver,to live
estado,state
parar,stop
teve,he had
segundo,second
muitas,many
quatro,four
mão,hand
baixo,low
maior,bigger
meio,quite
meses,months
mau,bad
vê,see
ouvi,I heard
andar,to walk
rápido,fast
número,number
vejo,I see
mulheres,women
morreu,he died
nenhuma,none
acordo,Agreement
festa,party
fazes,make
capitão,captain
raio,lightning
pais,country
suficiente,enough
poderia,it could
sra.,Mrs.
crianças,kids
estavam,They were
força,force
muitos,Many
nesta,in this
presidente,chairman
buscar,search
filhos,sons
perder,lose
esperar,wait
viu,saw
irmã,sister
chega,he arrives
possível,possible
devias,deviations
sai,leaves
acabar,to finish
rapazes,boys
precisas,accurate
elas,they
contar,tell
idiota,moron
olhar,to look
vossa,yours
teria,it would have
foste,you
estavas,it was
pena,feather
mil,thousand
longe,far away
faça,Knife
penso,perse
tivesse,have
tuas,your
pedir,ask
estranho,weird
importa,it matters
fácil,easy
muita,lots of
veio,he came
brincar,play
bebé,baby
plano,flat
devo,owe
prazer,pleasure
velho,old
conseguir,get
passado,past
tomar,to take
além,beyond
jantar,dinner
dá-me,Give me
depressa,quickly
pergunta,question
tirar,to throw
pequeno,little
descobrir,discover
sala,living room
ah,ah
telefone,telephone
trás,back
seis,six
culpa,fault
vos,you
exactamente,exactly
possa,be likely to
deixa,he leaves
errado,wrong
vivo,alive
menina,girl
john,John
casamento,wedding
outras,others
espere,hang on
pensa,thought
jack,jack
nossas,our
correr,run
mudar,change
diga,say it
paz,peace
sentir,to feel
cama,bed
gostava,I liked
sozinho,alone
pelos,by the
comida,food
sequer,even
falta,lack
ficou,stayed
conheço,I know
gosta,he likes
passou,passed on
bastante,quite
deu,it gave
provavelmente,probably
palavra,word
demasiado,too
diferente,different
essas,these
armas,weapon
digo,I say
licença,license
demais,too much
pagar,pay
médico,doctor
seguir,follow
semanas,weeks
consegues,Get
dizem,They say
matou,killed
único,single
acreditar,to believe
local,place
fazem,do
pior,worse
próprio,own
continua,to be continued
vosso,your
consegue,it achieves
fico,I am
diz-me,tell me
país,country
gostaria,would
forte,strong
partir,leave
prisão,prison
próxima,next
especial,Special
esteja,is
livro,book
oportunidade,opportunity
viste,visited
rei,king
chegou,has arrived
esses,Those
continuar,Continue
resto,rest
ar,air
estive,I have been
hospital,hospital
sítio,place
fazê-lo,do so
raios,rays
ligar,to connect
porra,Cum
minuto,minute
irá,will
sentido,sense
atenção,Warning
vim,I came
quis,wanted
sam,sam
queremos,we want
direito,right
café,coffee
venha,come
visto,visa
criança,child
luz,light
filme,film
música,music
portanto,therefore
haver,be
esteve,was
aqueles,those ones
pôr,per
querer,to want
sexo,sex
fogo,fire
connosco,with us
beber,drink
toma,tone
mr,MR
houve,there was
tratar,treat
pequena,small
ganhar,win
ponto,Score
milhões,millions
manter,to maintain
precisar,need
rua,Street
olhe,look
pé,foot
fazemos,We do
encontrei,I found
miúda,mulo
existe,exists
arranjar,get
dez,ten
último,last
assassino,assassin
miúdo,kid
tinhas,tinhas
estávamos,we were
cedo,early
vês,see
boca,mouth
boas,good
acontece,it happens
jovem,young
preocupes,worry
comprar,purchase
situação,situation
esposa,wife
sistema,system
devem,must
jogar,play
natal,Christmas
capaz,able
certa,certain
michael,Michael
amiga,friend
seguro,safe
questão,question
relação,relationship
perguntas,Questions
encontro,meeting
sob,under
cão,dog
quiseres,want
negócio,business
quiser,he wants
nisto,on this
sinal,signal
linda,beautiful
facto,fact that
mensagem,message
próximo,next
apanhar,to take
adoro,I adore
crime,crime
banho,bath
própria,own
deves,Deves
grandes,big ones
chamada,call
finalmente,finally
novamente,again
futuro,future
começou,it started
perguntar,to ask
notícias,News
acabei,I have finished
fique,stay
ambos,both
lhes,them
chamar,Call
entendo,I understand
cabelo,hair
entra,goes into
grupo,group
doutor,doctor
salvar,to save
livre,free
viagem,travel
vontade,will
sozinha,alone
conversa,conversation
tipos,types
fugir,to run away
palavras,words
consegui,I achieved
tinham,had
devíamos,we should
lista,list
gostas,like
lutar,to fight
escritório,office
peço,I ask
final,Final
procurar,Search for
deixou,left
alto,high
interessa,interest
bonito,beautiful
chão,floor
campo,field
perfeito,Perfect
tio,uncle
estiver,you are
pelas,by
dito,said
respeito,respect
completamente,completely
deveria,it should
vista,View
charlie,Charlie
breve,short
melhores,best
á,The
bonita,beautiful
normal,normal
devemos,we must
fiquei,I was left
mortos,dead
faria,would make
tom,tone
mesa,table
preso,stuck
simples,simple
iria,I would go
fixe,fix
emprego,job
achei,I found
faças,faces
chama,flame
linha,line
dizes,sayings
real,real
nave,nave
lembras-te,Remember you
assunto,subject matter
vale,Valley
cala-te,shut up
ataque,attack
pensava,thought
frank,Frank
ai,there
graças,grace
escolha,choice
ordem,order
viva,alive
fundo,background
terá,will have
doente,sick
acidente,accident
má,bad
the,The
modo,mode
provas,evidences
resposta,answer
bocado,bit
papá,daddy
avião,plane
deixe-me,leave me
vindo,coming
após,after
erro,error
acredita,belief
miúdos,kids
verdadeiro,real
jesus,Jesus
idade,age
fizeram,made
fantástico,Fantastic
pare,Stop
morta,dead
leva,he takes
percebo,perceive
saiu,it went out
pensas,thinks
advogado,attorney
conhece,do you know
espaço,space
estivesse,it was
fazia,made
serviço,service
missão,mission
ler,to read
louco,Crazy
bons,Good
conhecer,to meet
nele,in him
lindo,pretty
informação,information
abrir,Open
mente,mind
mike,Mike
perceber,to notice
amo-te,I love you
programa,program
veja,Look
sol,Sun
fomos,we were
simplesmente,simply
caixa,Cashier
sete,seven
senhores,gentlemen
hotel,Hotel
nessa,in that
gostar,like
incrível,amazing
puta,bitch
amo,master
vai-te,go
david,David
dor,ache
joe,Joe
dessa,of that
presente,gift
carta,Letter
governo,government
barco,boat
loja,store
energia,energy
pra,for
vítima,victim
roupa,clothing
voz,voice
trouxe,brought
luta,fight
câmara,chamber
disse-me,I said to me
fome,hunger
professor,teacher
estúpido,Stupid
mamã,Mom
mostrar,Show
hipótese,hypothesis
telemóvel,mobile phone
reunião,meeting
prova,proof
s,s
percebi,I noticed
casar,marry
general,general
peter,peter
volto,back
trazer,to bring
olho,eye
chamado,called
conseguiu,it achieved
exército,army
através,through
lei,law
digas,say
banco,Bank
naquela,at that
deixe,leave
nesse,in that
disseram,They said
conseguimos,we achieved
segunda,Monday
tempos,times
podias,it
tocar,touch
mês,month
tiro,shot
fbi,FBI
soube,knew
tenhas,tenks
quantos,how many
creio,I believe
george,George
papel,paper
sonho,dream
ver-te,see you
desse,of that
tínhamos,We had
bar,Pub
povo,people
tentei,I Tried
eras,eras
fizemos,We did
cena,scene
tenente,lieutenant
centro,center
tivemos,we had
conversar,to talk
teres,Teres
nao,not
vê-lo,see him
proteger,protect
diabo,devil
parabéns,Happy birthday
bebida,beverage
aposto,bet
base,base
tradução,Translation
sinto-me,I feel
esperem,wait
excelente,great
comandante,commander
voltou,came back
namorada,girlfriend
precisam,need
sabias,sake
empresa,company
resolver,solve
metade,a half
impossível,impossible
lembro,I remember
desapareceu,it disappeared
interessante,interesting
acerca,about
segundos,second
cair,fall
engraçado,funny
bela,lovely
mentir,to lie
costas,back
chave,key
divertido,funny
ouviste,hearing
juro,swear
escrever,write
piada,joke
oito,eight
levou,it took
passada,last
guarda,guard
controlo,control
daí,so
apartamento,apartment
segredo,secret
decisão,decision
funciona,it works
posição,position
surpresa,surprise
parecia,it
cerca,fence
céu,sky
negócios,Business
cabo,cable
receber,receive
motivo,reason
imediatamente,immediately
olhem,look
vidas,lives
passo,step
tribunal,court
max,Max
contacto,contact
começa,start
ora,now
ótimo,excellent
bolas,ball
trabalha,works
tenham,have
inferno,hell
estrada,road
delas,from them
falei,I spoke
diria,would say
cheio,full
companhia,company
ouça,listen up
sejas,be
horrível,horrible
escuta,listening
saída,exit
ordens,orders
namorado,boyfriend
norte,north
explicar,explain
aprender,learn
senhoras,ladies
fazendo,making
encontrou,it found
quente,hot
querias,I wanted
esquece,forgets
prometo,promise
saia,get out
padre,priest
detective,detective
ouro,gold
perigo,danger
perdi,I lost
falou,he spoke
coronel,colonel
alma,soul
diferentes,many different
naquele,in that
vestido,dress
últimos,last
planeta,planet
máquina,machine
raparigas,girls
pés,foot
maioria,majority
tiver,have
debaixo,under
pronta,ready
parecer,seem
velha,old
esquerda,left
avó,grandmother
näo,not
confiar,trust
destino,destiny
contente,happy
pudesse,could
frio,cold
vejam,see
lidar,to deal
regras,rules
homicídio,murder
precisava,needed
james,James
aonde,where
gajo,dude
vêm,comes
aniversário,birthday
igreja,church
conheces,KNOWLEDGE
alex,Alex
funcionar,work
sul,south
compreendo,I understand
abre,open
vossos,your
carne,meat
tenta,try
quantas,how many
vender,sell
sente-se,sit down
abaixo,below
desculpem,sorry
direita,right
liberdade,freedom
cavalo,horse
droga,damn it
área,area
destes,of these
parem,stop
quais,which are
triste,sad
bomba,bomb
espécie,species
cérebro,brain
venham,come
podíamos,we could
tanta,so much
vive,live
henry,Henry
estaria,it would be
belo,beautiful
esquecer,to forget
contrário,contrary
cerveja,beer
experiência,experience
diferença,difference
animais,animals
humano,human
branco,white
honra,honor
mandar,to send
tentou,tried
lembro-me,I remember
esperança,hope
iorque,york
sente,feel
falo,I talk
acaso,chance
saúde,health
trata,treat
estará,will be
perigoso,dangerous
entendido,understood
inteligente,smart
drogas,drug
paul,Paul
pareces,seem
conheci,I knew
ideias,ideas
público,public
irei,I will go
teste,test
acham,They find
informações,information
ben,Ben
bola,ball
acaba,ends
aquelas,those
cliente,client
roubar,steal
mar,sea
dançar,to dance
suspeito,suspect
passei,I passed
senta-te,sit down
suposto,supposed
miss,Miss
risco,risk
bater,to knock
entender,to understand
tiveste,You had
nível,level
rainha,queen
aceitar,to accept
clube,club
pobre,poor
dizer-me,tell me
américa,America
mestre,teacher
conselho,advice
perdeu,it lost
serão,will be
apesar,although
parece-me,it seems to me
disse-te,told you
computador,computer
jimmy,Jimmy
alvo,target
aparecer,to appear
investigação,investigation
entrada,Prohibited
saiam,skirt
janela,window
dúvida,doubt
danny,Danny
preocupe,worry
estiveste,You have been
nick,nick
realidade,reality
mary,Mary
poderá,may
código,code
zona,zone
prontos,ready
longo,long
totalmente,totally
propósito,purpose
entrou,came in
provar,to test
avô,grandmother
ligação,Link
meia,sock
dizer-te,told you
basta,enough
seguinte,Following
menino,boy
chama-se,It's called
esconder,hide
criar,create
afinal,in the end
colocar,put on
ias,IAS
dê,in
calhar,beef
dei,Dei
loucura,craziness
disse-lhe,I told him
termos,terms
destas,of these
sargento,sergeant
vossas,yours
foto,Photograph
diga-me,tell me
humanos,humans
tira,strip
meninas,girls
verificar,to check
terrível,terrible
monte,mate
dar-lhe,give you
pedido,order
ficas,ribbon
sarah,Sarah
chorar,cry
céus,heaven
sejam,be
contas,accounts
ouviu,he heard
usa,user
preocupado,concerned
sentes,native
vós,you
parecem,they look
exemplo,example
rio,river
liga,turns on
jeito,way
põe,put
oficial,official
odeio,I hate
início,start
enorme,huge
televisão,TV
suponho,suppose
socorro,relief
dados,Dice
responsável,responsible
irmãos,brothers
repente,suddenly
percebes,perceive
segura,safe
acima,above
pediu,he requested
foda-se,screw this
esperava,expected
almoço,lunch
xerife,sheriff
cartão,card
estarei,I will be
planos,plans
cozinha,kitchen
dizer-lhe,tell you
ray,ray
metros,meters
negro,black
deixei,let
operação,operation
preço,price
pele,skin
existem,exist
diabos,hell
principal,main
justo,fair
chá,tea
vinho,wine
lixo,trash
mudou,changed
novos,new
relatório,report
dra.,Dra.
necessário,necessary
alta,high
par,pair
perdido,lost
agentes,agents
dado,given away
imenso,immense
nomes,names
defesa,defense
laboratório,laboratory
comando,command
tia,aunt
bill,Bill
maravilhoso,amazing
fotografia,photography
dizia,he said
fotos,Photos
ilha,island
subir,ride up
farei,I will do
opinião,opinion
tony,Tony
terminar,finish
acesso,access
fato,fact
braço,arm
saco,bag
lembrar,to remember
desejo,desire
correu,ran
senão,if no
pá,shovel
série,series
conseguiste,You have achieved
nela,in it
jim,Jim
comboio,train
roupas,clothes
cabra,goat
junto,together
sonhos,dreams
pernas,legs
ido,gone
pedi,I asked
discutir,to discuss
livros,books
saiba,know
falamos,We talk
saudades,miss you
harry,Harry
rádio,radio
destruir,to destroy
traz,brow
silêncio,silence
peça,part
bob,Bob
senti,feeling
escolher,choose
carros,cars
maldito,damn you
cheia,full
limpar,clean
ama,love
caramba,Yikes
nove,nine
ficam,stay
novas,new
carrinha,Van
trato,tract
evitar,avoid
seres,beings
pista,track
departamento,Department
verão,summer
direcção,direction
soldados,soldiers
dessas,of these
errada,wrong
justiça,justice
costumava,I used to
mala,slob
foder,fuck
leve,Light
daquela,that
memória,memory
rabo,tail
azul,blue
calças,pants
graça,grace
tommy,Tommy
façam,Do
verdadeira,TRUE
hey,hey
restaurante,restaurant
comum,common
confiança,confidence
vens,vens
estação,season
vídeo,video
pressão,pressure
sapatos,shoes
inimigo,enemy
ligou,turned on
preparar,prepare
diz-lhe,tell you
ocupado,busy
duro,hard
várias,several
deviam,they should
sendo,being
cartas,cards
espírito,spirit
igual,equal
prestes,self -assessment
paris,Paris
corre,run
h,H
inteiro,whole
branca,white
gelo,ice
maluco,crazy
bem-vindo,Welcome
cheguei,I arrived
apareceu,he appeared
cuidar,to care
vi.,saw.
daquele,that
magia,Magic
universidade,university
processo,process
dentes,teeth
porcaria,filth
copo,glass
noites,nights
vermelho,red
responder,reply
volte,come back
apoio,support
parque,park
paciente,patient
quão,how
tornar,become
conseguia,managed
andas,sinks
viram,They saw
arte,art
jake,jake
visita,visit
buraco,hole
cantar,sing
sucesso,success
pegar,to take
queira,want
la,there
ajudá-lo,help you out
infelizmente,unfortunately
conduzir,drive
parede,wall
cheiro,smell
herói,hero
inglês,English
devagar,slowly
troca,exchange
batalha,battle
steve,Steve
ryan,Ryan
bala,bullet
mentira,lie
férias,vacation
emergência,emergency
toca,tap
americano,American
coragem,courage
encontrado,found
vergonha,shame
caiu,dropped down
longa,long
estrela,star
animal,animal
achar,to think
teremos,we will have
acção,action
certamente,Certainly
tido,performed
juiz,judge
perna,leg
som,sound
desculpas,apologies
edifício,building
vieste,vies
aulas,classes
médicos,doctors
will,Will
clientes,customers
enviar,to send
terem,have
pescoço,neck
lua,moon
fiquem,stay
casaco,coat
monstro,monster
vimos,saw
chaves,keys
gostei,I liked
começo,start
irão,Iran
falando,talking
parceiro,partner
ajuda-me,help me
imaginar,to imagine
recuperar,to recover
normalmente,usually
estranha,strange
simpático,kind
valor,value
cor,color
histórias,stories
i,I
serei,Will be
devido,due
terei,I will have
londres,London
soldado,Soldier
ajudar-te,help you
encontraram,found
puder,can
falas,speech
filmes,films
richard,Richard
serem,be
fale,speak
especialmente,especially
vê-la,candle
doce,candy
dê-me,give me
vítimas,victims
natureza,nature
vieram,came
johnny,Johnny
miúdas,muddy
andado,walked
chamo-me,my name is
líder,leader
desses,of these
billy,Billy
haverá,there will be
excepto,except
máximo,maximum
inocente,innocent
prefiro,I prefer
autocarro,bus
más,but
gabinete,cabinet
faca,do
matei,killed
grávida,pregnant
desistir,to give up
fé,faith
salvo,saved
exatamente,exactly
espectáculo,spectacle
tamanho,size
voar,to fly
carreira,career
limpo,clean
velhos,velhos
porreiro,porreiro
gostam,like
árvore,tree
preparado,prepared
demorar,to take time
possamos,we can
milhares,thousands
disparar,shoot
distância,distance
conseguem,get
antigo,old one
brilhante,brillant
dança,dance
chamas,flames
pedra,stone
conhecemos,We know
pensam,They think
faculdade,college
imagem,Image
majestade,majesty
serve,it suits
caralho,fuck
flores,flowers
malta,Malta
conhecido,known
comecei,started
doença,illness
julgamento,judgment
nariz,nose
cortar,cut
estados,States
sobreviver,survive
polícias,police
óptima,optimal
pontos,spots
preto,black
éramos,we were
cadeira,chair
peixe,fish
encontramos,we find
gozar,enjoy
partido,broken
daniel,Daniel
bobby,bobby
voo,flight
louca,crazy
recebi,I received
casas,houses
jovens,young
visão,eyesight
jane,jane
dar-te,give it to you
controlar,to control
felizes,happily
testemunha,witness
americanos,Americans
fechar,close
km,km
unidos,United
deixes,let
queiras,funds
gritar,shout out
brian,Brian
jogos,games
gato,cat
cães,dogs
li,Li
canção,song
lugares,places
corrida,race
mark,Mark
deixado,left
central,central
notícia,news
perdão,pardon
chris,Chris
come,eats
vários,several
interior,interior
hei,Hei
estilo,style
acabado,finished
barulho,noise
vás,vas
robert,Robert
estrelas,stars
obviamente,obviously
velocidade,velocity
ameaça,threat
dar-me,give me
movimento,movement
fará,will make
scott,scott
eric,Eric
tantas,so many
correcto,correct
ligado,connected
clark,Clark
vemo-nos,We see ourselves
poderes,powers
relógio,clock
entanto,however
unidade,unity
braços,arms
marca,brand
regressar,return
baixa,low
andava,walked
números,numbers
forças,forces
verde,green
pega,catch
floresta,forest
total,total
ponte,bridge
confusão,confusion
director,director
maria,Mary
culpado,guilty
praia,beach
tv,TV
casos,case
acreditas,believe
encontrámos,We found
tiveram,had
língua,tongue
descansar,rest
presa,prey
investigar,investigate
lee,lee
meter,enclose
matá-lo,kill him
oi,Hi
construir,ramp up
perdemos,we lost
fotografias,photographs
sinais,signals
banda,band
kate,kate
rapidamente,quickly
descobri,I discovered
perfeita,perfect
ficará,will be
ficamos,We stayed
cabrão,bastard
busca,search
ouvido,heard
receio,fear
cristo,Christ
atirar,shoot
fingir,pretend
respirar,breathe
rosto,face
ridículo,ridiculous
mudança,change
época,era
nacional,national
corpos,bodies
fonte,source
dou,DOU
sentimentos,feelings
major,major
ando,walk
pense,think
navio,ship
soubesse,knew
faz-me,Make me
escapar,escape
cavalos,horses
d,D
eua,USA
cansado,tired out
aula,class
rico,rich
íamos,we are
acordar,wake up
charles,charles
fugiu,ran away
preocupar,concern
humana,human
tivesses,had
beleza,beauty
atrasado,late
portas,doors
agir,Act
dedos,fingers
rir,to laugh
walter,Walter
dono,owner
kevin,Kevin
posto,post
morre,dies
nervoso,nervous
bordo,edge
mandou,mandated
depende,It depends
magoar,to hurt
entregar,deliver
agradável,nice
preocupada,concerned
eddie,Eddie
princesa,Princess
calor,heat
vou-me,I will leave
gay,gay
óbvio,obvious
washington,Washington
colega,classmate
pensou,thought
jornal,newspaper
interesse,interest
combate,combat
atacar,attack
profissional,professional
decidir,decide
anel,ring
pago,paid out
esperto,clever
inteira,entire
idiotas,idiots
levanta-te,get up
estejas,these
espada,sword
iremos,we will
sentado,seated
luzes,lights
indo,going
descer,to descend
classe,class
casado,married
agradeço,appreciate
podiam,could
estúpida,stupid
aberta,open
caro,expensive
leite,milk
mercado,market
política,policy
lisa,Lisa
milhão,million
género,genre
oferta,offer
entendes,understanding
tome,take
teoria,theory
escuro,dark
ruas,streets
desaparecer,to vanish
uh,uh
antiga,old
tê-lo,have it
cadeia,chain
levantar,rise
crescer,to grow
continue,continues
via,via
ouçam,listen
imprensa,press
uso,use
santo,Holy
treta,bullshit
noiva,bride
acorda,wake up
ajudar-me,help me
dan,dan
claire,claire
servir,serve
pequenos,small
absolutamente,absolutely
venho,I come
perda,loss
descobriu,found
resultado,result
militar,military
emily,Emily
manda,he sends
inglaterra,England
disser,say
material,material
matt,Matt
camião,truck
feita,made
rede,network
príncipe,Prince
concordo,I agree
momentos,moments
martin,martin
fantasma,ghost
segredos,secrets
confia,trust
solução,solution
ouvidos,ears
beijo,kiss
encontraste,Found
impedir,prevent
pessoalmente,personally
data,date
jerry,Jerry
andam,walk
morreram,died
conhecia,knew
garrafa,bottle
dum,dum
orgulho,proud
fizer,do
bolo,cake
propriedade,property
maiores,larger
policia,police
fuga,escape
sensação,sensation
tecnologia,technology
iam,AI
peito,chest
futebol,soccer
vinte,twenty
terceiro,third
levá-lo,take you
bilhete,ticket
acabaste,ended
cinema,movie theater
vento,wind
rachel,rachel
voltei,I went back
jason,Jason
táxi,taxi
registos,records
boleia,ride
quinta,Thursday
matar-me,kill me
chapéu,hat
dedo,finger
mano,Bro
mexer,to mix
deu-me,gave me
legal,cool
vingança,revenge
dever,to owe
exacto,accurate
ajude,help
porco,pork
dá-lhe,give you
doido,crazy
pete,pete
raiva,rage
sê,be
peso,Weight
lembra-te,remember
treino,training
algures,somewhere
natural,Natural
foi-se,it's gone
estudar,to study
assistente,assistant
partida,match
responsabilidade,responsibility
esqueça,forget
maldição,curse
oeste,west
inimigos,enemies
viemos,We came
controle,control
corte,cut
amy,Amy
assassinato,murder
meninos,boys
sir,sir
tantos,many
queriam,They wanted
acontecido,happened
entende,you see
acalma-te,calm down
aparentemente,Apparently
apanhado,caught up
toque,Touch
chegaram,They arrived
baile,prom
aeroporto,airport
poucos,few
aparece,pops up
complicado,complicated
mostra,show
ouve-me,hear me
pude,can
convosco,with you
tente,try
apresentar,to introduce
roubou,he stole
fosses,fosses
esqueci-me,I forgot
terás,will have
decidi,I decided
lixar,luxury
serviços,services
universo,universe
frança,France
bocadinho,tight
daqueles,those
próprios,own
don,Don
al,al
interessado,interested
sacana,bastard
respostas,answers
thomas,Thomas
agradecer,to thank
chuck,Chuck
secretária,secretary
morada,address
mapa,map
contou,said
internet,Internet
efeito,It is made
bebe,baby
aconteça,happen
notas,grades
enfermeira,nurse
super,super
patrão,boss
importo,import
resultados,results
ouvir-me,hear me
corredor,Hall
conhecimento,knowledge
ficaria,would stay
visitar,visit
ás,to the
aguentar,to hold on
dera,dera
adn,DNA
aldeia,village
razões,reasons
guardas,guards
testes,tests
cirurgia,surgery
aberto,open
médica,doctor
merece,deserve
contrato,contract
vivos,vivic
ter-te,have
gás,gas
sociedade,society
mata,Woods
lar,home
direitos,rights
instante,instant
leste,east
usado,used
mantém,keeps
original,original
zangado,angry
vinha,came
adam,Adam
familiar,familiar
parecido,like
imagino,I guess
larga,wide
estejam,be
pede,asks
haja,squeal
luke,luke
pressa,hurry
ferido,injured
passaram,They passed
treinador,coach
voltas,laps
anteriormente,previously
cia,cia
cu,ass
chamadas,calls
quisesse,would
duma,of
crédito,credit
